Section Number,Title,Text Preview,Suggested Tags,Reason
11B-805.6,"Hand washing fixtures, lavatories and sinks.","Hand washing fixtures, lavatories and sinks. All hand washing fixtures, lavatories and sinks shall comply with Section 11B-606. Exception: S…",NONE,no match
11B-805.7,Built-in cabinets and work surfaces.,"Built-in cabinets and work surfaces. Built-in cabinets, counters and work surfaces shall be accessible, including: patient wardrobes, nurse …",kitchens,keywords:kitchens
11B-806,General.,,NONE,no match
11B-806.1,General.,General. Transient lodging guest rooms shall comply with Section 11B-806. Guest rooms required to provide mobility features shall comply wit…,NONE,no match
11B-806.2,Turning space.,Turning space. Turning space complying with Section 11B-304 shall be provided within the guest room. Turning space complying with Section 11…,NONE,no match
11B-806.3,Notification devices.,Notification devices. Visible notification devices shall be provided to alert room occupants of incoming telephone calls and a door knock or…,NONE,no match
11B-807,General.,,NONE,no match
11B-807.1,General.,General. Holding cells and housing cells shall comply with Section 11B-807. Holding cells and housing cells shall comply with Section 11B-80…,NONE,no match
11B-807.2,Toilet and bathing facilities.,Toilet and bathing facilities. Toilet facilities or bathing facilities that are provided as part of a cell shall comply with Section 11B-603…,bathrooms,keywords:bathrooms
11B-807.3,Telephones.,"Telephones. Telephones, where provided within cells, shall have volume controls complying with Section 11B-704.3. Telephones, where provided…",NONE,no match
11B-808,General.,,NONE,no match
11B-808.1,General.,General. Courtrooms shall comply with Section 11B-808. Courtrooms shall comply with Section 11B-808.,NONE,no match
11B-808.2,Turning space.,"Turning space. Where provided, areas that are raised or depressed and accessed by ramps or platform lifts with entry ramps shall provide uno…",NONE,no match
11B-808.3,Clear floor space.,"Clear floor space. Each jury box and witness stand shall have, within its defined area, clear floor space complying with Section 11B-305. Ex…",NONE,no match
11B-808.4,Judges’ benches and courtroom stations.,"Judges’ benches and courtroom stations. Judges’ benches, clerks’ stations, bailiffs’ stations, deputy clerks’ stations, court reporters’ sta…",NONE,no match
11B-809,General.,,NONE,no match
11B-809.1,Washing machines and clothes dryers.,Washing machines and clothes dryers. Where washing machines and clothes dryers are provided in residential dwelling units with mobility feat…,NONE,no match
11B-809.10,Mirrors and towel bars.,Mirrors and towel bars. Where mirrors are provided the bottom edge of the reflective surface shall be 40 inches (1016 mm) maximum above the …,NONE,no match
11B-809.11,Washing machines and clothes dryers.,Washing machines and clothes dryers. Where washing machines and clothes dryers are provided in residential dwelling units with adaptable fea…,NONE,no match
11B-809.12,"Electrical receptacles, controls and switches.","Electrical receptacles, controls and switches. Electrical receptacles on branch circuits of 30 amperes or less, communication system recepta…",kitchens,keywords:kitchens
11B-809.2,Turning space.,Turning space. All rooms served by an accessible route shall provide a turning space complying with Section 11B-304. Exception: Turning spac…,NONE,no match
11B-809.3,Kitchen.,"Kitchen. Where a kitchen is provided, it shall comply with Section 11B-804. Where a kitchen is provided, it shall comply with Section 11B-80…",NONE,no match
11B-809.4,Subsequent bathrooms.,"Subsequent bathrooms. In residential dwelling units with more than one bathroom, when a bathtub is installed in the first bathroom in compli…",bathrooms,keywords:bathrooms
11B-809.5,"Site, building or floor entrance.","Site, building or floor entrance. Where a system, including a closed-circuit system, permitting voice communication between a visitor and th…",NONE,no match
11B-809.6,Residential dwelling units with adaptable features.,Residential dwelling units with adaptable features. Residential dwelling units with adaptable features shall comply with Sections 11B-809.7 …,NONE,no match
11B-809.7,Changes in level.,"Changes in level. Changes in level shall comply with Sections 11B-303.2 and 11B-303.3. Ramps complying with Section 11B-405, elevators compl…",NONE,no match
11B-809.8,Door signal devices.,"Door signal devices. Every primary entrance to a residential dwelling unit with adaptable features shall be provided with a door buzzer, bel…",NONE,no match
11B-809.9,Exposed pipes and surfaces.,Exposed pipes and surfaces. Exposed water supply and drain pipes under sinks and lavatories shall comply with Section 11B-606.5. Exposed wat…,NONE,no match
11B-810,General.,,NONE,no match
11B-810.1,Baggage systems.,Baggage systems. Baggage check-in and retrieval systems shall be on an accessible route complying with Section 11B-402 and shall have space …,NONE,no match
11B-810.10,Track crossings.,"Track crossings. Where a circulation path serving boarding platforms crosses tracks, it shall comply with Section 11B-402. Exception: Openin…",NONE,no match
11B-810.2,Slope.,"Slope. Parallel to the roadway, the slope of the bus stop boarding and alighting area shall be the same as the roadway, to the maximum exten…",NONE,no match
11B-810.3,Bus shelters.,Bus shelters. Bus shelters shall provide a minimum clear floor or ground space complying with Section 11B-305 entirely within the shelter. B…,NONE,no match
11B-810.4,Bus signs.,Bus signs. Bus route identification signs shall comply with Sections 11B-703.5.1 through 11B-703.5.4 and Sections 11B-703.5.7 and 11B-703.5.…,NONE,no match
11B-810.5,Platform and vehicle floor coordination.,Platform and vehicle floor coordination. Station platforms shall be positioned to coordinate with vehicles in accordance with the applicable…,NONE,no match
11B-810.6,Station names.,Station names. Stations covered by this section shall have identification signs complying with Section 11B-703.5. Signs shall be clearly vis…,NONE,no match
11B-810.7,Public address systems.,"Public address systems. Where public address systems convey audible information to the public, the same or equivalent information shall be p…",NONE,no match
11B-810.8,Clocks.,"Clocks. Where clocks are provided for use by the public, the clock face shall be uncluttered so that its elements are clearly visible. Hands…",NONE,no match
11B-810.9,Escalators.,"Escalators. Where provided, escalators shall comply with Sections 6.1.3.5.6 and 6.1.3.6.5 of ASME A17.1 and shall have a clear width of 32 i…",NONE,no match
11B-811,General.,,NONE,no match
11B-811.1,General.,General. Storage shall comply with Section 11B-811. Storage shall comply with Section 11B-811.,NONE,no match
11B-811.2,Clear floor or ground space.,Clear floor or ground space. A clear floor or ground space complying with Section 11B-305 shall be provided. A clear floor or ground space c…,NONE,no match
11B-811.3,Height.,Height. Storage elements shall comply with at least one of the reach ranges specified in Section 11B-308. Storage elements shall comply with…,NONE,no match
11B-811.4,Operable parts.,Operable parts. Operable parts shall comply with Section 11B-309. Operable parts shall comply with Section 11B-309.,NONE,no match
11B-812,General.,,NONE,no match
11B-812.1,General.,General. Electric vehicle charging stations (EVCS) shall comply with Section 11B-812 as required by Section 11B-228.3. Where vehicle spaces …,NONE,no match
11B-812.10,Location.,"Location. EV chargers shall be adjacent to, and within the projected width of, the vehicle space being served. Exceptions: 1. EV chargers se…",NONE,no match
11B-812.2,Operable parts.,Operable parts. Operable parts shall comply with Section 11B-309. Operable parts shall comply with Section 11B-309.,NONE,no match
11B-812.3,Floor or ground surfaces.,Floor or ground surfaces. Vehicle spaces and access aisles serving them shall comply with Section 11B-302. Access aisles shall be at the sam…,NONE,no match
11B-812.4,Vertical clearance.,"Vertical clearance. Vehicle spaces, access aisles serving them, and vehicular routes serving them shall provide a vertical clearance of 98 i…",NONE,no match
11B-812.5,Obstructions.,Obstructions. EVCS shall be designed so accessible routes are not obstructed by cables or other elements. EVCS shall be designed so accessib…,NONE,no match
11B-812.6,Drive-up.,Drive-up. Vehicle spaces serving drive-up EVCS shall be 204 inches (5182 mm) wide minimum and shall not be required to have an adjacent acce…,NONE,no match
11B-812.7,Lettering.,Lettering. The words “NO PARKING” shall be painted on the surface within each access aisle in letters a minimum of 12 inches (305 mm) in hei…,NONE,no match
11B-812.8,Location.,Location. Required identification signs shall be visible from the EVCS it serves. Signs shall be permanently posted either immediately adjac…,NONE,no match
11B-812.9,Surface marking.,Surface marking. EVCS vehicle spaces shall provide surface marking stating “EV CHARGING ONLY” in letters 12 inches (305 mm) high minimum. Th…,NONE,no match
11B-813,ADULT CHANGING FACILITIES,,NONE,no match
11B-813.1,Location.,Location. Adult changing facilities shall be provided within a unisex (single-user or family) toilet room or other similar privateroom. Adul…,NONE,no match
11B-813.2,Signs.,Signs. A room identification sign complying with Section 11B-216 shall be provided at entrances to adult changing facilities. The text of th…,NONE,no match
11B-901,GENERAL,,NONE,no match
11B-901.1,Scope.,Scope. The provisions of Division 9 shall apply where required by Division 2 or where referenced by a requirement in this chapter. The provi…,NONE,Skipped: definitional/scoping
11B-902,DINING SURFACES AND WORK SURFACES,,NONE,no match
11B-902.1,General.,General. Dining surfaces and work surfaces shall comply with Sections 11B-902.2 and 11B-902.3. Exception: Dining surfaces and work surfaces …,NONE,no match
11B-902.2,Overlap.,Overlap. The clear floor space at dining surfaces shall not overlap the accessible route. The clear floor space at dining surfaces shall not…,NONE,no match
11B-902.3,Height.,Height. The tops of dining surfaces and work surfaces shall be 28 inches (711 mm) minimum and 34 inches (864 mm) maximum above the finish fl…,NONE,no match
11B-902.4,Height.,Height. The tops of tables and counters shall be 26 inches (660 mm) minimum and 30 inches (762 mm) maximum above the finish floor or ground.…,NONE,no match
11B-903,General.,,NONE,no match
11B-903.1,General.,General. Benches shall comply with Section 11B-903. Benches shall comply with Section 11B-903.,NONE,no match
11B-903.2,Clear floor or ground space.,Clear floor or ground space. Clear floor or ground space complying with Section 11B-305 shall be provided and shall be positioned at the end…,NONE,no match
11B-903.3,Size.,Size. Benches shall have seats that are 48 inches (1219 mm) long minimum and 20 inches (508 mm) deep minimum and 24 inches (610 mm) deep max…,NONE,no match
11B-903.4,Back support.,Back support. The bench shall provide for back support or shall be affixed to a wall along its long dimension. Back support shall be 48 inch…,NONE,no match
11B-903.5,Height.,Height. The top of the bench seat surface shall be 17 inches (432 mm) minimum and 19 inches (483 mm) maximum above the finish floor or groun…,NONE,no match
11B-903.6,Structural strength.,Structural strength. Benches shall be affixed to the wall or floor. Allowable stresses shall not be exceeded for materials used when a verti…,NONE,no match
11B-903.7,Wet locations.,"Wet locations. Where installed in wet locations, the surface of the seat shall be slip resistant and shall not accumulate water. Where insta…",NONE,no match
11B-904,General.,,NONE,no match
11B-904.1,General.,General. Check-out aisles and sales and service counters shall comply with the applicable requirements of Section 11B-904. Check-out aisles …,NONE,no match
11B-904.2,Approach.,Approach. All portions of counters required to comply with Section 11B-904 shall be located adjacent to a walking surface complying with Sec…,NONE,no match
11B-904.3,Identification sign.,"Identification sign. When not all check-out aisles are accessible, accessible check-out aisles shall be identified by a sign clearly visible…",NONE,no match
11B-904.4,Forward approach.,Forward approach. A portion of the counter surface that is 36 inches (914 mm) long minimum and 34 inches (864 mm) high maximum shall be prov…,NONE,no match
11B-904.5,Tray slides.,Tray slides. The tops of tray slides shall be 28 inches (711 mm) minimum and 34 inches (864 mm) maximum above the finish floor or ground. Th…,NONE,no match
11B-904.6,Security glazing.,"Security glazing. Where counters or teller windows have security glazing to separate personnel from the public, a method to facilitate voice…",NONE,no match
